Comment,label,databersih,Tokenized,Remove stopwords,stemming,label_angka
"mbak erina minimal sadarin suaminya , jan malah ikut menikmati , tuhan adil loh mbak kamu bisa di bikin porak poranda dlam sehari eh itu mah negara kita , warbiyasa mertuomu dan suami mu mbak , semoga aja gak setres ya mbak biar hamilnya lancar🤣🤣🤣🤣",ujaran kebencian,kakak erina minimal sadarkan suaminya jangan malah ikut menikmati tuhan adil lah kakak kamu bisa di bikin porak poranda dalam sehari eh itu adalah negara kita warbiyasa mertuomu dan suami mu kakak semoga saja tidak setres ya kakak biar hamilnya lancar,"['kakak', 'erina', 'minimal', 'sadarkan', 'suaminya', 'jangan', 'malah', 'ikut', 'menikmati', 'tuhan', 'adil', 'lah', 'kakak', 'kamu', 'bisa', 'di', 'bikin', 'porak', 'poranda', 'dalam', 'sehari', 'eh', 'itu', 'adalah', 'negara', 'kita', 'warbiyasa', 'mertuomu', 'dan', 'suami', 'mu', 'kakak', 'semoga', 'saja', 'tidak', 'setres', 'ya', 'kakak', 'biar', 'hamilnya', 'lancar']",kakak erina minimal sadarkan suaminya menikmati tuhan adil kakak bikin porak poranda sehari eh negara warbiyasa mertuomu suami mu kakak semoga setres ya kakak biar hamilnya lancar,kakak erina minimal sadar suami nikmat tuhan adil kakak bikin porak poranda hari eh negara warbiyasa mertuomu suami mu kakak moga tres ya kakak biar hamil lancar,0
nelen ludah sendiri emang paling best ya mas?? indonesia lagi darurat karena siapa??iya karena sampeyan dong mas. emang gak bisa ya bikin indonesia adem ayem?? ulah sampeyan jadi pada begini🔥,ujaran kebencian,menelan ludah sendiri memang paling terbaik ya mas indonesia lagi darurat karena siapa iya karena kamu dong mas memang tidak bisa ya bikin indonesia adem ayem ulah kamu jadi pada begini,"['menelan', 'ludah', 'sendiri', 'memang', 'paling', 'terbaik', 'ya', 'mas', 'indonesia', 'lagi', 'darurat', 'karena', 'siapa', 'iya', 'karena', 'kamu', 'dong', 'mas', 'memang', 'tidak', 'bisa', 'ya', 'bikin', 'indonesia', 'adem', 'ayem', 'ulah', 'kamu', 'jadi', 'pada', 'begini']",menelan ludah terbaik ya mas indonesia darurat iya mas ya bikin indonesia adem ayem ulah,tel ludah baik ya mas indonesia darurat iya mas ya bikin indonesia adem ayem ulah,0
beban negara kaliann,ujaran kebencian,beban negara kalian,"['beban', 'negara', 'kalian']",beban negara,beban negara,0
nepo baby has no shame. hell with you and all your family.,ujaran kebencian,nepo baby has no shame hell dengan kamu dan semua your family,"['nepo', 'baby', 'has', 'no', 'shame', 'hell', 'dengan', 'kamu', 'dan', 'semua', 'your', 'family']",nepo baby has no shame hell your family,nepo baby has no shame hell your family,0
"mending lo fokus usaha,ngapain ke politik semua keluarga lo?lo mau keluarga lo tetep di hina?jangan lakuin hal yang harusnya lo gak bisa lakuin!!",ujaran kebencian,mending kamu fokus usaha ngapain ke politik semua keluarga lo lo mau keluarga kamu tetap di hina jangan lakukan hal yang harusnya kamu tidak bisa lakuin,"['mending', 'kamu', 'fokus', 'usaha', 'ngapain', 'ke', 'politik', 'semua', 'keluarga', 'lo', 'lo', 'mau', 'keluarga', 'kamu', 'tetap', 'di', 'hina', 'jangan', 'lakukan', 'hal', 'yang', 'harusnya', 'kamu', 'tidak', 'bisa', 'lakuin']",mending fokus usaha ngapain politik keluarga lo lo keluarga hina lakukan lakuin,mending fokus usaha ngapain politik keluarga lo lo keluarga hina laku lakuin,0
mbak. kalo hamil jangan kemana mana yak. duduk manis aja d rumah yah. ga boleh atuh,bukan ujaran kebencian,mbak kalau hamil jangan kemana mana yak duduk manis saja di rumah yah tidak boleh aduh,"['mbak', 'kalau', 'hamil', 'jangan', 'kemana', 'mana', 'yak', 'duduk', 'manis', 'saja', 'di', 'rumah', 'yah', 'tidak', 'boleh', 'aduh']",mbak hamil kemana yak duduk manis rumah yah aduh,mbak hamil mana yak duduk manis rumah yah aduh,1
"saya cuman kasian sama bayi diperutmu mbak, dia ga bersalah, cuma ditempatkan di keluarga yg salah...",ujaran kebencian,aku hanya kasihan sama bayi diperutmu mbak dia tidak bersalah hanya ditempatkan di keluarga yang salah,"['aku', 'hanya', 'kasihan', 'sama', 'bayi', 'diperutmu', 'mbak', 'dia', 'tidak', 'bersalah', 'hanya', 'ditempatkan', 'di', 'keluarga', 'yang', 'salah']",kasihan bayi diperutmu mbak bersalah ditempatkan keluarga salah,kasihan bayi perut mbak salah tempat keluarga salah,0
"ya allahh yang maha membolak balikkan hati.. balikkan hati mereka dan hati kami agar menjadi hamba yang berintegritas dan teguh dalam iman, kebaikan, ketulusan, dan taat pada aturan. seburuk buruknya lingkungan bertumbuh kami, engkau maha menjaga. bersihkan hati mereka, bersihkan hati kami, dari ambisi, dari segala penyakit ketakutan akan dunia. sadarkan mereka, dan sadarkan kami bahwa dunia ini sementara, akhirat selamanya.",bukan ujaran kebencian,ya allah yang maha membolak balikkan hati balikkan hati mereka dan hati kami agar menjadi hamba yang berintegritas dan teguh dalam iman kebaikan ketulusan dan taat pada aturan seburuk buruknya lingkungan bertumbuh kami engkau maha menjaga bersihkan hati mereka bersihkan hati kami dari ambisi dari segala penyakit ketakutan akan dunia sadarkan mereka dan sadarkan kami bahwa dunia ini sementara akhirat selamanya,"['ya', 'allah', 'yang', 'maha', 'membolak', 'balikkan', 'hati', 'balikkan', 'hati', 'mereka', 'dan', 'hati', 'kami', 'agar', 'menjadi', 'hamba', 'yang', 'berintegritas', 'dan', 'teguh', 'dalam', 'iman', 'kebaikan', 'ketulusan', 'dan', 'taat', 'pada', 'aturan', 'seburuk', 'buruknya', 'lingkungan', 'bertumbuh', 'kami', 'engkau', 'maha', 'menjaga', 'bersihkan', 'hati', 'mereka', 'bersihkan', 'hati', 'kami', 'dari', 'ambisi', 'dari', 'segala', 'penyakit', 'ketakutan', 'akan', 'dunia', 'sadarkan', 'mereka', 'dan', 'sadarkan', 'kami', 'bahwa', 'dunia', 'ini', 'sementara', 'akhirat', 'selamanya']",ya allah maha membolak balikkan hati balikkan hati hati hamba berintegritas teguh iman kebaikan ketulusan taat aturan seburuk buruknya lingkungan bertumbuh engkau maha menjaga bersihkan hati bersihkan hati ambisi penyakit ketakutan dunia sadarkan sadarkan dunia akhirat,ya allah maha bolak balik hati balik hati hati hamba integritas teguh iman baik tulus taat atur buruk buruk lingkung tumbuh engkau maha jaga sih hati sih hati ambisi sakit takut dunia sadar sadar dunia akhirat,1
anak mami,ujaran kebencian,anak ibu,"['anak', 'ibu']",anak,anak,0
tae,ujaran kebencian,tahi,['tahi'],tahi,tahi,0
masya alloh comente isine kebencian n doa elek...awas mbalik doane,bukan ujaran kebencian,masya allah comente isinya kebencian dan doa elek awas mbalik doane,"['masya', 'allah', 'comente', 'isinya', 'kebencian', 'dan', 'doa', 'elek', 'awas', 'mbalik', 'doane']",masya allah comente isinya kebencian doa elek awas mbalik doane,masya allah comente isi benci doa elek awas mbalik doane,1
cantik kak @erinagudono,bukan ujaran kebencian,cantik kakak,"['cantik', 'kakak']",cantik kakak,cantik kakak,1
"selamat datang di percakapan. saat berkomentar, perlakukan orang lain dengan hormat. “ucap instagram”",bukan ujaran kebencian,selamat datang di percakapan saat berkomentar perlakukan orang lain dengan hormat ucap instagram,"['selamat', 'datang', 'di', 'percakapan', 'saat', 'berkomentar', 'perlakukan', 'orang', 'lain', 'dengan', 'hormat', 'ucap', 'instagram']",selamat percakapan berkomentar perlakukan orang hormat instagram,selamat cakap komentar laku orang hormat instagram,1
lha kalian dulu pemilih si bapak jd presiden sampai 2x?.kok skrg pd ngehujat sih 😮😮😮,bukan ujaran kebencian,lah kalian dulu pemilih sih bapak jadi presiden sampai x kok sekarang pada menghujat sih,"['lah', 'kalian', 'dulu', 'pemilih', 'sih', 'bapak', 'jadi', 'presiden', 'sampai', 'x', 'kok', 'sekarang', 'pada', 'menghujat', 'sih']",pemilih sih presiden x menghujat sih,pilih sih presiden x hujat sih,1
"siramannya khidmat banget ya, sampe ada yang obok obok air",bukan ujaran kebencian,siramannya khidmat sekali ya sampai ada yang obok obok air,"['siramannya', 'khidmat', 'sekali', 'ya', 'sampai', 'ada', 'yang', 'obok', 'obok', 'air']",siramannya khidmat ya obok obok air,siram khidmat ya obok obok air,1
"tampang² menantu, anak, emak, bpk yg tak punya malu dan tdk peka",ujaran kebencian,tampang menantu anak emak bapak yang tidak punya malu dan tidak peka,"['tampang', 'menantu', 'anak', 'emak', 'bapak', 'yang', 'tidak', 'punya', 'malu', 'dan', 'tidak', 'peka']",tampang menantu anak emak malu peka,tampang menantu anak emak malu peka,0
1 keluarga membuat 1 negara berantakan!!,ujaran kebencian,keluarga membuat negara berantakan,"['keluarga', 'membuat', 'negara', 'berantakan']",keluarga negara berantakan,keluarga negara beranta,0
keluarga gak tahu malu😂,ujaran kebencian,keluarga tidak tahu malu,"['keluarga', 'tidak', 'tahu', 'malu']",keluarga malu,keluarga malu,0
enak bgt pake fasilitas negara,ujaran kebencian,enak sekali pakai fasilitas negara,"['enak', 'sekali', 'pakai', 'fasilitas', 'negara']",enak pakai fasilitas negara,enak pakai fasilitas negara,0
".
daftar berita bohong/hoax firaun:
hoax: 11.000 triliun.
hoax: 50 juta masker.
hoax: pengangguran digaji.
hoax: mobil esemka laku 6.000 unit.
hoax: stop hutang luar negeri.
hoax: stop impor pangan.
hoax: persulit investasi asing.
hoax: buy back indosat.
hoax: 10 jt lapangan kerja.
hoax: tidak bagi bagi jabatan.
hoax: tidak rangkap jabatan.
hoax: tidak setuju dengan blt.
hoax: kabinet ramping.
hoax: penguatan kpk.
hoax: besarkan pertamina dalam 5 tahun.
hoax: cetak 3 juta lahan pertanian.
hoax: buka bank tani.
hoax: swasembada pangan.
hoax: pertumbuhan ekonomi 7%.
hoax: ekonomi meroket.
hoax: dollar 10 ribu.
hoax: tidak menaikkan bbm.
hoax: tidak menaikkan tdl.
hoax: tidak impor garam.
hoax: tidak impor gula.
hoax: listrik murah.
hoax: minyak mentah turun, bbm ikut turun.
hoax: anak saya tidak tertarik politik.
hoax: investor berbondong- bondong masuk ikn dan tanah ikn akan melambung.
hoax: tapera bermanfaat untuk membantu pembiayaan rumah masyarakat berpenghasilan rendah.
.
.
.
.
ya ndak tau kok tanya saya (yntkts).
cek sendiri, tolong jangan terus tanya saya.",bukan ujaran kebencian,daftar berita bohong hoax firaun hoax triliun hoax juta masker hoax pengangguran digaji hoax mobil esemka laku unit hoax berhenti hutang luar negeri hoax berhenti impor pangan hoax persulit investasi asing hoax buy kembali indosat hoax juta lapangan kerja hoax tidak bagi bagi jabatan hoax tidak rangkap jabatan hoax tidak setuju dengan blt hoax kabinet ramping hoax penguatan kpk hoax besarkan pertamina dalam tahun hoax cetak juta lahan pertanian hoax buka bank tani hoax swasembada pangan hoax pertumbuhan ekonomi hoax ekonomi meroket hoax dolar ribu hoax tidak menaikkan bbm hoax tidak menaikkan tdl hoax tidak impor garam hoax tidak impor gula hoax listrik murah hoax minyak mentah turun bahan bakar minyak ikut turun hoax anak aku tidak tertarik politik hoax investor berbondong bondong masuk ikn dan tanah ikn akan melambung hoax tapera bermanfaat untuk membantu pembiayaan rumah masyarakat berpenghasilan rendah ya tidak tau kok tanya aku yntkts cek sendiri tolong jangan terus tanya saya,"['daftar', 'berita', 'bohong', 'hoax', 'firaun', 'hoax', 'triliun', 'hoax', 'juta', 'masker', 'hoax', 'pengangguran', 'digaji', 'hoax', 'mobil', 'esemka', 'laku', 'unit', 'hoax', 'berhenti', 'hutang', 'luar', 'negeri', 'hoax', 'berhenti', 'impor', 'pangan', 'hoax', 'persulit', 'investasi', 'asing', 'hoax', 'buy', 'kembali', 'indosat', 'hoax', 'juta', 'lapangan', 'kerja', 'hoax', 'tidak', 'bagi', 'bagi', 'jabatan', 'hoax', 'tidak', 'rangkap', 'jabatan', 'hoax', 'tidak', 'setuju', 'dengan', 'blt', 'hoax', 'kabinet', 'ramping', 'hoax', 'penguatan', 'kpk', 'hoax', 'besarkan', 'pertamina', 'dalam', 'tahun', 'hoax', 'cetak', 'juta', 'lahan', 'pertanian', 'hoax', 'buka', 'bank', 'tani', 'hoax', 'swasembada', 'pangan', 'hoax', 'pertumbuhan', 'ekonomi', 'hoax', 'ekonomi', 'meroket', 'hoax', 'dolar', 'ribu', 'hoax', 'tidak', 'menaikkan', 'bbm', 'hoax', 'tidak', 'menaikkan', 'tdl', 'hoax', 'tidak', 'impor', 'garam', 'hoax', 'tidak', 'impor', 'gula', 'hoax', 'listrik', 'murah', 'hoax', 'minyak', 'mentah', 'turun', 'bahan', 'bakar', 'minyak', 'ikut', 'turun', 'hoax', 'anak', 'aku', 'tidak', 'tertarik', 'politik', 'hoax', 'investor', 'berbondong', 'bondong', 'masuk', 'ikn', 'dan', 'tanah', 'ikn', 'akan', 'melambung', 'hoax', 'tapera', 'bermanfaat', 'untuk', 'membantu', 'pembiayaan', 'rumah', 'masyarakat', 'berpenghasilan', 'rendah', 'ya', 'tidak', 'tau', 'kok', 'tanya', 'aku', 'yntkts', 'cek', 'sendiri', 'tolong', 'jangan', 'terus', 'tanya', 'saya']",daftar berita bohong hoax firaun hoax triliun hoax juta masker hoax pengangguran digaji hoax mobil esemka laku unit hoax berhenti hutang negeri hoax berhenti impor pangan hoax persulit investasi asing hoax buy indosat hoax juta lapangan kerja hoax jabatan hoax rangkap jabatan hoax setuju blt hoax kabinet ramping hoax penguatan kpk hoax besarkan pertamina hoax cetak juta lahan pertanian hoax buka bank tani hoax swasembada pangan hoax pertumbuhan ekonomi hoax ekonomi meroket hoax dolar ribu hoax menaikkan bbm hoax menaikkan tdl hoax impor garam hoax impor gula hoax listrik murah hoax minyak mentah turun bahan bakar minyak turun hoax anak tertarik politik hoax investor berbondong bondong masuk ikn tanah ikn melambung hoax tapera bermanfaat membantu pembiayaan rumah masyarakat berpenghasilan rendah ya tau yntkts cek tolong,daftar berita bohong hoax firaun hoax triliun hoax juta masker hoax anggur gaji hoax mobil esemka laku unit hoax henti hutang negeri hoax henti impor pangan hoax sulit investasi asing hoax buy indosat hoax juta lapang kerja hoax jabat hoax rangkap jabat hoax tuju blt hoax kabinet ramping hoax kuat kpk hoax besar pertamina hoax cetak juta lahan tani hoax buka bank tani hoax swasembada pangan hoax tumbuh ekonomi hoax ekonomi roket hoax dolar ribu hoax naik bbm hoax naik tdl hoax impor garam hoax impor gula hoax listrik murah hoax minyak mentah turun bahan bakar minyak turun hoax anak tarik politik hoax investor bondong bondong masuk ikn tanah ikn lambung hoax tapera manfaat bantu biaya rumah masyarakat hasil rendah ya tau yntkts cek tolong,1
fir'aun familys 👨‍👩‍👦👭🧑‍🤝‍🧑,ujaran kebencian,fir aun familys,"['fir', 'aun', 'familys']",fir aun familys,fir aun familys,0
shame on you! itu istana negara bukan istana keluarga..,ujaran kebencian,kecewa nyala you itu istana negara bukan istana keluarga,"['kecewa', 'nyala', 'you', 'itu', 'istana', 'negara', 'bukan', 'istana', 'keluarga']",kecewa nyala you istana negara istana keluarga,kecewa nyala you istana negara istana keluarga,0
subhanallah di hujat satu indonesia 😢,bukan ujaran kebencian,subhanallah di hujat satu indonesia,"['subhanallah', 'di', 'hujat', 'satu', 'indonesia']",subhanallah hujat indonesia,subhanallah hujat indonesia,1
sehat2 ya syggg❤️❤️❤️,bukan ujaran kebencian,sehat sehat ya syg,"['sehat', 'sehat', 'ya', 'syg']",sehat sehat ya syg,sehat sehat ya syg,1
terima kasih mbak @erinagudono dan mas @kaesangp atas kepercayaannya. tampilan kebaya dan beskap utk hari spesial ini,bukan ujaran kebencian,terima kasih kakak dan kakak atas kepercayaannya tampilan kebaya dan beskap untuk hari spesial ini,"['terima', 'kasih', 'kakak', 'dan', 'kakak', 'atas', 'kepercayaannya', 'tampilan', 'kebaya', 'dan', 'beskap', 'untuk', 'hari', 'spesial', 'ini']",terima kasih kakak kakak kepercayaannya tampilan kebaya beskap spesial,terima kasih kakak kakak percaya tampil kebaya beskap spesial,1
"enak ya tutup mata, sementara 1 indonesia menderita",bukan ujaran kebencian,enak ya tutup mata sementara indonesia menderita,"['enak', 'ya', 'tutup', 'mata', 'sementara', 'indonesia', 'menderita']",enak ya tutup mata indonesia menderita,enak ya tutup mata indonesia derita,1
kenapa harus di istana bogor? gak punya rumah lu sang?,ujaran kebencian,kenapa harus di istana bogor tidak punya rumah kamu sang,"['kenapa', 'harus', 'di', 'istana', 'bogor', 'tidak', 'punya', 'rumah', 'kamu', 'sang']",istana bogor rumah sang,istana bogor rumah sang,0
acaranya pake uang rakyat ya? soalnya kamu kan ga bisa kerja,ujaran kebencian,acaranya pakai uang rakyat ya soalnya kamu kan tidak bisa kerja,"['acaranya', 'pakai', 'uang', 'rakyat', 'ya', 'soalnya', 'kamu', 'kan', 'tidak', 'bisa', 'kerja']",acaranya pakai uang rakyat ya kerja,acara pakai uang rakyat ya kerja,0
gatau malu,ujaran kebencian,tidak tau malu,"['tidak', 'tau', 'malu']",tau malu,tau malu,0
lo yang ga pernah tau dan bodo amat tentang hal yang ga di sukai masyarakat ga pantes jadi pemimpin .,ujaran kebencian,kamu yang tidak pernah tau dan bodoh sekali tentang hal yang tidak di sukai masyarakat tidak pantas jadi pemimpin,"['kamu', 'yang', 'tidak', 'pernah', 'tau', 'dan', 'bodoh', 'sekali', 'tentang', 'hal', 'yang', 'tidak', 'di', 'sukai', 'masyarakat', 'tidak', 'pantas', 'jadi', 'pemimpin']",tau bodoh sukai masyarakat pemimpin,tau bodoh suka masyarakat pimpin,0
enak banget lolos dari bea cukai cuuaaaksss,ujaran kebencian,enak sekali lolos dari bea cukai cuuaks,"['enak', 'sekali', 'lolos', 'dari', 'bea', 'cukai', 'cuuaks']",enak lolos bea cukai cuuaks,enak lolos bea cukai cuuaks,0
langgar terus konstitusi negara sampai bikin kerajaan ke anak cucu🔥,ujaran kebencian,langgar terus konstitusi negara sampai bikin kerajaan ke anak cucu,"['langgar', 'terus', 'konstitusi', 'negara', 'sampai', 'bikin', 'kerajaan', 'ke', 'anak', 'cucu']",langgar konstitusi negara bikin kerajaan anak cucu,langgar konstitusi negara bikin raja anak cucu,0
terus emang boleh istana negara dipake acara pribadi anak presiden? urgensinya apa?,bukan ujaran kebencian,terus memang boleh istana negara dipakai acara pribadi anak presiden urgensinya apa,"['terus', 'memang', 'boleh', 'istana', 'negara', 'dipakai', 'acara', 'pribadi', 'anak', 'presiden', 'urgensinya', 'apa']",istana negara dipakai acara pribadi anak presiden urgensinya,istana negara pakai acara pribadi anak presiden urgensi,1
beban negara banget keluarga ini,ujaran kebencian,beban negara sekali keluarga ini,"['beban', 'negara', 'sekali', 'keluarga', 'ini']",beban negara keluarga,beban negara keluarga,0
agak. laen emang satu keluarga 🤮🤮🤮,ujaran kebencian,agak lain memang satu keluarga,"['agak', 'lain', 'memang', 'satu', 'keluarga']",keluarga,keluarga,0
yakin pake uang pribadi bukan uang negara? 🥰,bukan ujaran kebencian,yakin pakai uang pribadi bukan uang negara,"['yakin', 'pakai', 'uang', 'pribadi', 'bukan', 'uang', 'negara']",pakai uang pribadi uang negara,pakai uang pribadi uang negara,1
masik kurang uang ?,bukan ujaran kebencian,masik kurang uang,"['masik', 'kurang', 'uang']",masik uang,masik uang,1
akibat satu keluarga ini 😭,bukan ujaran kebencian,akibat satu keluarga ini,"['akibat', 'satu', 'keluarga', 'ini']",akibat keluarga,akibat keluarga,1
acaranya dimana ni? ikn ya?,bukan ujaran kebencian,acaranya dimana ni ikn ya,"['acaranya', 'dimana', 'ni', 'ikn', 'ya']",acaranya dimana ni ikn ya,acara mana ni ikn ya,1
siiiii bauuu ketekk!,ujaran kebencian,si bau ketekk,"['si', 'bau', 'ketekk']",si bau ketekk,si bau ketekk,0
keluarga penjajah pasca indonesia telah merdeka,ujaran kebencian,keluarga penjajah pasca indonesia telah merdeka,"['keluarga', 'penjajah', 'pasca', 'indonesia', 'telah', 'merdeka']",keluarga penjajah pasca indonesia merdeka,keluarga jajah pasca indonesia merdeka,0
mas jd gimana tuh kasus pesawat jet? masa ngilang sih. dear @psi_id ketua umumnya bolos yah? @kaesangp,bukan ujaran kebencian,kakak jadi bagaimana itu kasus pesawat jet masa menghilang sih sayang ketua umumnya bolos yah,"['kakak', 'jadi', 'bagaimana', 'itu', 'kasus', 'pesawat', 'jet', 'masa', 'menghilang', 'sih', 'sayang', 'ketua', 'umumnya', 'bolos', 'yah']",kakak pesawat jet menghilang sih sayang ketua bolos yah,kakak pesawat jet hilang sih sayang ketua bolos yah,1
